2026-07-17T16:39:35.072Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,elementTap,CMSIS_NANO_BUTTON,button,,,,,
2026-07-17T16:39:35.072Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,actionRun,CMSIS_NANO_BUTTON,,,setState,,,
2026-07-17T16:39:35.072Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,stateExit,,,957,,,,
2026-07-17T16:39:35.701Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,NanoState,elementTap,CMSIS_DAP_BUTTON,button,,,,,
2026-07-17T16:39:35.701Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,NanoState,actionRun,CMSIS_DAP_BUTTON,,,setState,,,
2026-07-17T16:39:35.701Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,NanoState,stateExit,,,629,,,,
2026-07-17T16:39:36.400Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,DAPstate,elementTap,CMSIS_HOME_BUTTON,button,,,,,
2026-07-17T16:39:36.400Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,DAPstate,actionRun,CMSIS_HOME_BUTTON,,,goToScene,,,
2026-07-17T16:39:36.400Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,DAPstate,sceneExit,,,2285,,,,
2026-07-17T16:39:36.400Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:38.317Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:39:38.319Z,2f204e2b-92c6-41e3-92c0-d72063d8a8d7,Home,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T17:01:24.436Z,d76eb98e-1ace-45f6-b2ac-01d9bf34b1f0,,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T17:01:24.434Z,eff21d16-e949-4b9e-8bc8-5bc10f36c1f7,,,sessionEnd,,,,,,,
2026-07-17T17:01:25.141Z,d76eb98e-1ace-45f6-b2ac-01d9bf34b1f0,,,elementTap,VSCode,button,,,,,
2026-07-17T17:01:25.142Z,d76eb98e-1ace-45f6-b2ac-01d9bf34b1f0,,,actionRun,VSCode,,,goToScene,,,
2026-07-17T17:01:25.142Z,d76eb98e-1ace-45f6-b2ac-01d9bf34b1f0,VsCode,,sceneEnter,,,,,,,
2026-07-17T17:01:26.319Z,d76eb98e-1ace-45f6-b2ac-01d9bf34b1f0,VsCode,,elementTap,CMSIS,button,,,,,
2026-07-17T17:01:26.319Z,d76eb98e-1ace-45f6-b2ac-01d9bf34b1f0,VsCode,,actionRun,CMSIS,,,goToScene,,,
